dropped_feature,step,total_remaining_after_this_step
BUREAU_BUREAU_BALANCE_STATUS_4_COUNT_NORM_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_4_COUNT_NORM_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_4_COUNT_NORM_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_5_COUNT_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_5_COUNT_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_5_COUNT_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_5_COUNT_NORM_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_5_COUNT_NORM_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_5_COUNT_NORM_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_C_COUNT_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_C_COUNT_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_C_COUNT_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_C_COUNT_NORM_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_C_COUNT_NORM_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_C_COUNT_NORM_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_X_COUNT_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_X_COUNT_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_X_COUNT_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_X_COUNT_NORM_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_X_COUNT_NORM_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_X_COUNT_NORM_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_NAN_COUNT_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_NAN_COUNT_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_NAN_COUNT_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_NAN_COUNT_NORM_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_NAN_COUNT_NORM_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_NAN_COUNT_NORM_MIN,high_missing_removal,695
PREV_APP_RATE_INTEREST_PRIMARY_MEAN,high_missing_removal,695
PREV_APP_RATE_INTEREST_PRIMARY_MAX,high_missing_removal,695
PREV_APP_RATE_INTEREST_PRIMARY_MIN,high_missing_removal,695
PREV_APP_RATE_INTEREST_PRIVILEGED_MEAN,high_missing_removal,695
PREV_APP_RATE_INTEREST_PRIVILEGED_MAX,high_missing_removal,695
PREV_APP_RATE_INTEREST_PRIVILEGED_MIN,high_missing_removal,695
CREDIT_CARD_SK_ID_PREV_MEAN,high_missing_removal,695
CREDIT_CARD_SK_ID_PREV_MAX,high_missing_removal,695
CREDIT_CARD_SK_ID_PREV_MIN,high_missing_removal,695
CREDIT_CARD_SK_ID_PREV_SUM,high_missing_removal,695
CREDIT_CARD_MONTHS_BALANCE_MEAN,high_missing_removal,695
CREDIT_CARD_MONTHS_BALANCE_MAX,high_missing_removal,695
CREDIT_CARD_MONTHS_BALANCE_MIN,high_missing_removal,695
CREDIT_CARD_MONTHS_BALANCE_SUM,high_missing_removal,695
CREDIT_CARD_AMT_BALANCE_MEAN,high_missing_removal,695
CREDIT_CARD_AMT_BALANCE_MAX,high_missing_removal,695
CREDIT_CARD_AMT_BALANCE_MIN,high_missing_removal,695
CREDIT_CARD_AMT_BALANCE_SUM,high_missing_removal,695
CREDIT_CARD_AMT_CREDIT_LIMIT_ACTUAL_MEAN,high_missing_removal,695
CREDIT_CARD_AMT_CREDIT_LIMIT_ACTUAL_MAX,high_missing_removal,695
CREDIT_CARD_AMT_CREDIT_LIMIT_ACTUAL_MIN,high_missing_removal,695
CREDIT_CARD_AMT_CREDIT_LIMIT_ACTUAL_SUM,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_ATM_CURRENT_MEAN,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_ATM_CURRENT_MAX,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_ATM_CURRENT_MIN,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_ATM_CURRENT_SUM,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_CURRENT_MEAN,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_CURRENT_MAX,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_CURRENT_MIN,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_CURRENT_SUM,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_OTHER_CURRENT_MEAN,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_OTHER_CURRENT_MAX,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_OTHER_CURRENT_MIN,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_OTHER_CURRENT_SUM,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_POS_CURRENT_MEAN,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_POS_CURRENT_MAX,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_POS_CURRENT_MIN,high_missing_removal,695
CREDIT_CARD_AMT_DRAWINGS_POS_CURRENT_SUM,high_missing_removal,695
CREDIT_CARD_AMT_INST_MIN_REGULARITY_MEAN,high_missing_removal,695
CREDIT_CARD_AMT_INST_MIN_REGULARITY_MAX,high_missing_removal,695
CREDIT_CARD_AMT_INST_MIN_REGULARITY_MIN,high_missing_removal,695
CREDIT_CARD_AMT_INST_MIN_REGULARITY_SUM,high_missing_removal,695
CREDIT_CARD_AMT_PAYMENT_CURRENT_MEAN,high_missing_removal,695
CREDIT_CARD_AMT_PAYMENT_CURRENT_MAX,high_missing_removal,695
CREDIT_CARD_AMT_PAYMENT_CURRENT_MIN,high_missing_removal,695
CREDIT_CARD_AMT_PAYMENT_CURRENT_SUM,high_missing_removal,695
CREDIT_CARD_AMT_PAYMENT_TOTAL_CURRENT_MEAN,high_missing_removal,695
CREDIT_CARD_AMT_PAYMENT_TOTAL_CURRENT_MAX,high_missing_removal,695
CREDIT_CARD_AMT_PAYMENT_TOTAL_CURRENT_MIN,high_missing_removal,695
CREDIT_CARD_AMT_PAYMENT_TOTAL_CURRENT_SUM,high_missing_removal,695
CREDIT_CARD_AMT_RECEIVABLE_PRINCIPAL_MEAN,high_missing_removal,695
CREDIT_CARD_AMT_RECEIVABLE_PRINCIPAL_MAX,high_missing_removal,695
CREDIT_CARD_AMT_RECEIVABLE_PRINCIPAL_MIN,high_missing_removal,695
CREDIT_CARD_AMT_RECEIVABLE_PRINCIPAL_SUM,high_missing_removal,695
CREDIT_CARD_AMT_RECIVABLE_MEAN,high_missing_removal,695
CREDIT_CARD_AMT_RECIVABLE_MAX,high_missing_removal,695
CREDIT_CARD_AMT_RECIVABLE_MIN,high_missing_removal,695
CREDIT_CARD_AMT_RECIVABLE_SUM,high_missing_removal,695
CREDIT_CARD_AMT_TOTAL_RECEIVABLE_MEAN,high_missing_removal,695
CREDIT_CARD_AMT_TOTAL_RECEIVABLE_MAX,high_missing_removal,695
CREDIT_CARD_AMT_TOTAL_RECEIVABLE_MIN,high_missing_removal,695
CREDIT_CARD_AMT_TOTAL_RECEIVABLE_SUM,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_ATM_CURRENT_MEAN,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_ATM_CURRENT_MAX,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_ATM_CURRENT_MIN,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_ATM_CURRENT_SUM,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_CURRENT_MEAN,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_CURRENT_MAX,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_CURRENT_MIN,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_CURRENT_SUM,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_OTHER_CURRENT_MEAN,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_OTHER_CURRENT_MAX,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_OTHER_CURRENT_MIN,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_OTHER_CURRENT_SUM,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_POS_CURRENT_MEAN,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_POS_CURRENT_MAX,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_POS_CURRENT_MIN,high_missing_removal,695
CREDIT_CARD_CNT_DRAWINGS_POS_CURRENT_SUM,high_missing_removal,695
CREDIT_CARD_CNT_INSTALMENT_MATURE_CUM_MEAN,high_missing_removal,695
CREDIT_CARD_CNT_INSTALMENT_MATURE_CUM_MAX,high_missing_removal,695
CREDIT_CARD_CNT_INSTALMENT_MATURE_CUM_MIN,high_missing_removal,695
CREDIT_CARD_CNT_INSTALMENT_MATURE_CUM_SUM,high_missing_removal,695
CREDIT_CARD_SK_DPD_MEAN,high_missing_removal,695
CREDIT_CARD_SK_DPD_MAX,high_missing_removal,695
CREDIT_CARD_SK_DPD_MIN,high_missing_removal,695
CREDIT_CARD_SK_DPD_SUM,high_missing_removal,695
CREDIT_CARD_SK_DPD_DEF_MEAN,high_missing_removal,695
CREDIT_CARD_SK_DPD_DEF_MAX,high_missing_removal,695
CREDIT_CARD_SK_DPD_DEF_MIN,high_missing_removal,695
CREDIT_CARD_SK_DPD_DEF_SUM,high_missing_removal,695
CREDIT_CARD_ROW_COUNT,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_ACTIVE_COUNT,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_ACTIVE_COUNT_NORM,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_APPROVED_COUNT,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_APPROVED_COUNT_NORM,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_COMPLETED_COUNT,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_COMPLETED_COUNT_NORM,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_DEMAND_COUNT,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_DEMAND_COUNT_NORM,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_REFUSED_COUNT,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_REFUSED_COUNT_NORM,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_SENT PROPOSAL_COUNT,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_SENT PROPOSAL_COUNT_NORM,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_SIGNED_COUNT,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_SIGNED_COUNT_NORM,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_NAN_COUNT,high_missing_removal,695
CREDIT_CARD_NAME_CONTRACT_STATUS_NAN_COUNT_NORM,high_missing_removal,695
